,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo,type_H,type_L,type_M
37,298.8,309.2,1425,53.9,135,No Failure,27.0,1,0,0
38,298.9,309.1,1383,54.9,145,No Failure,72.5,0,1,0
39,298.8,309.0,1497,43.8,147,No Failure,29.4,1,0,0
40,298.7,309.0,1565,35.1,152,No Failure,76.0,0,1,0
41,298.8,309.1,1477,42.4,158,No Failure,79.0,0,1,0
42,298.8,309.1,1513,40.3,160,No Failure,80.0,0,1,0
43,298.8,309.0,1661,29.5,162,No Failure,54.0,0,0,1
44,298.8,309.1,1378,54.4,165,No Failure,82.5,0,1,0
45,298.8,309.1,1393,52.6,167,No Failure,83.5,0,1,0
46,298.8,309.0,1829,22.9,172,No Failure,86.0,0,1,0
47,299.0,309.1,1523,38.6,177,No Failure,88.5,0,1,0
48,299.0,309.1,1394,45.1,179,No Failure,89.5,0,1,0
49,298.9,308.9,1679,28.7,181,No Failure,60.333333333333336,0,0,1
50,298.8,308.9,1466,44.1,184,No Failure,36.8,1,0,0
51,298.8,308.9,1527,32.4,189,No Failure,94.5,0,1,0
52,298.9,309.0,1410,65.7,191,Power Failure,95.5,0,1,0
53,298.9,309.1,1452,45.5,196,No Failure,98.0,0,1,0
54,298.9,309.1,1369,44.4,198,No Failure,99.0,0,1,0
55,299.0,309.1,1592,35.0,200,No Failure,100.0,0,1,0
56,298.8,308.9,1455,41.3,208,Tool Wear Failure,104.0,0,1,0
57,298.8,308.9,1398,51.5,0,No Failure,0.0,0,1,0
58,298.8,308.9,1402,37.9,2,No Failure,1.0,0,1,0
59,298.8,308.8,1445,49.9,4,No Failure,0.8,1,0,0
60,298.9,308.9,1450,47.5,9,No Failure,4.5,0,1,0
61,298.9,308.9,1453,40.8,11,No Failure,5.5,0,1,0
62,299.0,309.0,1469,40.1,13,No Failure,6.5,0,1,0
63,299.0,309.0,1436,43.9,20,No Failure,4.0,1,0,0
64,299.0,309.0,1544,31.8,25,No Failure,12.5,0,1,0
65,298.9,308.9,1487,39.5,30,No Failure,10.0,0,0,1
66,298.9,308.9,1830,24.9,35,No Failure,17.5,0,1,0
67,298.9,308.9,1727,27.1,37,No Failure,12.333333333333334,0,0,1
68,299.0,308.9,1622,31.9,42,No Failure,21.0,0,1,0
69,299.0,309.0,1351,52.2,44,No Failure,14.666666666666666,0,0,1
70,299.0,309.0,1575,35.3,47,No Failure,15.666666666666666,0,0,1
71,298.9,308.8,1529,32.7,53,No Failure,26.5,0,1,0
72,298.8,308.8,1523,44.4,55,No Failure,27.5,0,1,0
73,298.8,308.8,1991,20.7,59,No Failure,29.5,0,1,0
74,298.8,308.8,1441,40.5,63,No Failure,21.0,0,0,1
75,298.8,308.7,1450,43.4,66,No Failure,33.0,0,1,0
76,298.8,308.7,1445,48.5,70,No Failure,35.0,0,1,0
77,298.8,308.8,1497,46.8,72,No Failure,24.0,0,0,1
78,298.9,308.8,1621,32.7,75,No Failure,15.0,1,0,0
79,298.9,308.7,1572,34.1,80,No Failure,40.0,0,1,0
80,298.7,308.6,1499,43.5,84,No Failure,16.8,1,0,0
81,298.8,308.7,1498,39.5,89,No Failure,29.666666666666668,0,0,1
82,298.8,308.6,1680,29.4,95,No Failure,47.5,0,1,0
83,298.9,308.7,1564,34.1,99,No Failure,49.5,0,1,0
84,298.8,308.6,1599,33.0,101,No Failure,50.5,0,1,0
85,298.8,308.6,1707,28.1,103,No Failure,34.333333333333336,0,0,1
86,298.7,308.5,1467,40.7,106,No Failure,53.0,0,1,0
87,298.9,308.7,1558,41.2,110,No Failure,55.0,0,1,0
88,298.9,308.7,1727,29.4,116,No Failure,58.0,0,1,0
89,299.0,308.6,1329,60.5,120,No Failure,60.0,0,1,0
90,298.9,308.6,1413,46.5,122,No Failure,61.0,0,1,0
91,299.0,308.6,1587,38.6,124,No Failure,62.0,0,1,0
92,298.8,308.4,1473,41.1,128,No Failure,64.0,0,1,0
93,298.8,308.4,1737,27.7,130,No Failure,65.0,0,1,0
94,298.7,308.4,1441,43.2,132,No Failure,44.0,0,0,1
95,298.8,308.4,1369,53.0,138,No Failure,69.0,0,1,0
96,298.8,308.5,1711,28.5,140,No Failure,46.666666666666664,0,0,1
97,298.7,308.5,1420,45.7,143,No Failure,28.6,1,0,0
98,298.8,308.6,1268,55.8,155,No Failure,77.5,0,1,0
99,298.8,308.6,1511,36.1,157,No Failure,78.5,0,1,0
100,298.6,308.4,1407,50.5,164,No Failure,32.8,1,0,0
101,298.6,308.4,1391,42.4,169,No Failure,56.333333333333336,0,0,1
102,298.4,308.4,1515,40.1,179,No Failure,89.5,0,1,0
103,298.3,308.3,1379,48.0,181,No Failure,60.333333333333336,0,0,1
104,298.4,308.3,1422,42.7,186,No Failure,93.0,0,1,0
105,298.4,308.2,1584,41.0,191,No Failure,63.666666666666664,0,0,1
106,298.4,308.2,1850,27.0,194,No Failure,97.0,0,1,0
107,298.4,308.2,1528,36.2,196,No Failure,98.0,0,1,0
108,298.4,308.2,1987,19.8,198,No Failure,39.6,1,0,0
109,298.4,308.1,1495,46.0,203,No Failure,67.66666666666667,0,0,1
110,298.4,308.2,1499,40.0,211,No Failure,70.33333333333333,0,0,1
111,298.4,308.2,1471,47.0,214,No Failure,107.0,0,1,0
112,298.4,308.2,1282,60.7,216,Overstrain Failure,108.0,0,1,0
113,298.3,308.1,1412,52.3,218,Overstrain Failure,109.0,0,1,0
114,298.3,308.1,1586,35.5,0,No Failure,0.0,0,1,0
115,298.4,308.2,1468,43.8,2,No Failure,0.6666666666666666,0,0,1
116,298.5,308.3,1440,43.6,5,No Failure,1.6666666666666667,0,0,1
117,298.5,308.4,1733,26.0,8,No Failure,4.0,0,1,0
118,298.4,308.2,1612,32.6,10,No Failure,2.0,1,0,0
119,298.4,308.3,1458,42.9,15,No Failure,3.0,1,0,0
120,298.4,308.3,1318,59.1,22,No Failure,11.0,0,1,0
121,298.2,308.1,1462,50.8,27,No Failure,13.5,0,1,0
122,298.2,308.0,1591,33.7,32,No Failure,10.666666666666666,0,0,1
123,298.2,308.1,1306,58.3,35,No Failure,17.5,0,1,0
124,298.2,308.1,1382,43.5,37,No Failure,18.5,0,1,0
125,298.2,308.2,1988,21.4,41,No Failure,20.5,0,1,0
126,298.2,308.2,1436,50.2,43,No Failure,21.5,0,1,0
127,298.2,308.3,1304,49.8,45,No Failure,22.5,0,1,0
128,298.2,308.3,1475,49.9,47,No Failure,23.5,0,1,0
129,298.2,308.3,1824,24.2,49,No Failure,9.8,1,0,0
130,298.1,308.2,1342,48.1,54,No Failure,18.0,0,0,1
131,298.1,308.2,1485,40.7,57,No Failure,28.5,0,1,0
132,298.2,308.2,1667,30.6,59,No Failure,29.5,0,1,0
133,298.3,308.5,1606,33.6,67,No Failure,33.5,0,1,0
134,298.2,308.4,1666,34.6,74,No Failure,37.0,0,1,0
135,298.2,308.4,1398,51.8,76,No Failure,15.2,1,0,0
136,298.2,308.4,1678,34.6,81,No Failure,16.2,1,0,0
137,298.4,308.6,1527,40.9,96,No Failure,32.0,0,0,1
138,298.4,308.6,1433,47.1,101,No Failure,50.5,0,1,0
139,298.4,308.6,1609,35.0,103,No Failure,51.5,0,1,0
140,298.3,308.5,1575,41.2,105,No Failure,52.5,0,1,0
141,298.4,308.5,1490,37.9,110,No Failure,55.0,0,1,0
142,298.4,308.5,1741,32.8,112,No Failure,56.0,0,1,0
143,298.4,308.7,1421,60.7,119,Power Failure,39.666666666666664,0,0,1
144,298.4,308.7,1523,36.1,126,No Failure,63.0,0,1,0
145,298.3,308.6,1589,37.1,137,No Failure,45.666666666666664,0,0,1
146,298.3,308.5,1664,31.6,144,No Failure,72.0,0,1,0
147,298.3,308.5,1434,46.2,148,No Failure,49.333333333333336,0,0,1
148,298.3,308.5,1416,52.7,151,No Failure,75.5,0,1,0
149,298.4,308.6,1304,45.0,158,No Failure,79.0,0,1,0
150,298.4,308.6,1569,34.4,160,No Failure,80.0,0,1,0
151,298.3,308.6,1584,29.3,162,No Failure,81.0,0,1,0
152,298.3,308.5,1362,53.8,164,No Failure,82.0,0,1,0
153,298.3,308.4,1329,49.2,166,No Failure,83.0,0,1,0
154,298.3,308.5,1538,32.2,173,No Failure,86.5,0,1,0
155,298.3,308.6,1570,34.8,175,No Failure,87.5,0,1,0
156,298.3,308.4,1408,43.1,177,No Failure,88.5,0,1,0
157,298.2,308.4,1424,47.6,179,No Failure,89.5,0,1,0
158,298.2,308.4,1512,34.9,181,No Failure,90.5,0,1,0
159,298.2,308.4,1478,42.9,183,No Failure,91.5,0,1,0
160,298.1,308.3,1680,33.7,185,No Failure,61.666666666666664,0,0,1
161,298.1,308.3,1495,38.7,188,No Failure,94.0,0,1,0
162,298.0,308.1,1552,36.6,190,No Failure,63.333333333333336,0,0,1
163,297.9,308.1,1393,50.3,193,No Failure,96.5,0,1,0
164,298.0,308.2,1611,30.6,195,No Failure,97.5,0,1,0
165,298.0,308.1,1339,51.6,197,No Failure,65.66666666666667,0,0,1
166,298.0,308.1,1777,24.3,200,No Failure,100.0,0,1,0
167,298.0,308.2,1395,49.1,206,No Failure,68.66666666666667,0,0,1
168,297.9,308.1,1627,31.4,209,No Failure,69.66666666666667,0,0,1
169,297.9,308.1,1585,33.5,212,No Failure,106.0,0,1,0
170,298.0,308.2,1469,45.5,214,No Failure,107.0,0,1,0
171,298.0,308.3,1405,56.2,218,Overstrain Failure,109.0,0,1,0
172,298.0,308.3,1662,32.7,0,No Failure,0.0,0,1,0
173,298.0,308.2,1466,42.6,2,No Failure,0.6666666666666666,0,0,1
174,298.0,308.2,1357,48.2,7,No Failure,3.5,0,1,0
175,298.0,308.2,1514,37.9,9,No Failure,4.5,0,1,0
176,298.0,308.2,1489,40.4,11,No Failure,5.5,0,1,0
177,298.1,308.3,1331,63.0,13,No Failure,6.5,0,1,0
178,298.0,308.0,1615,29.5,15,No Failure,7.5,0,1,0
179,298.1,308.2,1420,63.9,19,Power Failure,6.333333333333333,0,0,1
180,298.1,308.2,1736,26.8,27,No Failure,9.0,0,0,1
181,298.1,308.2,1390,47.5,33,No Failure,16.5,0,1,0
182,298.0,308.1,1454,37.1,35,No Failure,17.5,0,1,0
183,297.9,308.0,1954,21.1,42,No Failure,21.0,0,1,0
184,297.9,308.0,1800,24.8,44,No Failure,8.8,1,0,0
185,298.0,308.0,1524,37.0,49,No Failure,24.5,0,1,0
186,298.0,308.0,1520,39.6,51,No Failure,10.2,1,0,0
187,298.1,308.1,1452,40.8,56,No Failure,18.666666666666668,0,0,1
188,298.1,308.1,1484,40.4,59,No Failure,29.5,0,1,0
189,298.1,308.0,1426,46.0,61,No Failure,30.5,0,1,0
190,298.1,308.0,1652,28.5,63,No Failure,31.5,0,1,0
191,298.0,307.9,1750,26.6,67,No Failure,22.333333333333332,0,0,1
192,298.0,308.0,1479,50.7,70,No Failure,14.0,1,0,0
193,298.0,308.0,1620,29.4,75,No Failure,25.0,0,0,1
194,298.0,308.1,1819,23.4,78,No Failure,39.0,0,1,0
195,298.1,308.1,1456,43.7,80,No Failure,26.666666666666668,0,0,1
196,298.1,308.1,1390,49.8,85,No Failure,28.333333333333332,0,0,1
197,298.2,308.2,1469,43.0,88,No Failure,44.0,0,1,0
198,298.2,308.3,1568,36.0,92,No Failure,46.0,0,1,0
199,298.2,308.3,1589,33.2,94,No Failure,47.0,0,1,0
200,298.2,308.4,1385,42.2,98,No Failure,19.6,1,0,0
201,298.1,308.4,1438,45.6,105,No Failure,52.5,0,1,0
202,298.0,308.3,1473,42.6,107,No Failure,53.5,0,1,0
203,298.1,308.4,1335,40.2,109,No Failure,54.5,0,1,0
204,298.1,308.5,1392,44.8,111,No Failure,22.2,1,0,0
205,298.1,308.6,1716,30.7,119,No Failure,39.666666666666664,0,0,1
206,298.0,308.5,1395,46.2,122,No Failure,61.0,0,1,0
207,298.0,308.5,1713,25.3,124,No Failure,62.0,0,1,0
208,297.9,308.5,2129,18.7,126,No Failure,25.2,1,0,0
209,297.8,308.3,1567,35.6,131,No Failure,43.666666666666664,0,0,1
210,297.8,308.4,1622,38.3,134,No Failure,67.0,0,1,0
211,297.8,308.4,1512,35.1,138,No Failure,27.6,1,0,0
212,297.8,308.4,1479,43.5,143,No Failure,47.666666666666664,0,0,1
213,297.8,308.4,1737,27.5,146,No Failure,73.0,0,1,0
214,297.8,308.4,2129,19.2,148,No Failure,74.0,0,1,0
215,297.8,308.4,1374,47.1,150,No Failure,75.0,0,1,0
216,297.8,308.4,1579,36.6,152,No Failure,50.666666666666664,0,0,1
217,297.9,308.5,1449,40.8,157,No Failure,52.333333333333336,0,0,1
218,298.0,308.6,1526,41.8,160,No Failure,32.0,1,0,0
219,298.0,308.6,1313,50.8,170,No Failure,85.0,0,1,0
220,297.9,308.5,1300,53.0,172,No Failure,57.333333333333336,0,0,1
221,297.9,308.4,1646,40.6,175,No Failure,87.5,0,1,0
222,297.8,308.4,1685,28.4,179,No Failure,89.5,0,1,0
223,297.8,308.4,1612,32.1,183,No Failure,91.5,0,1,0
224,297.8,308.5,1448,40.0,192,No Failure,96.0,0,1,0
225,297.8,308.5,1699,27.8,199,No Failure,99.5,0,1,0
226,297.7,308.5,1501,41.4,201,No Failure,100.5,0,1,0
227,297.7,308.5,1373,56.7,203,Overstrain Failure,101.5,0,1,0
228,297.6,308.4,1703,31.4,205,No Failure,41.0,1,0,0
229,297.6,308.4,1398,41.9,215,No Failure,71.66666666666667,0,0,1
230,297.6,308.4,1391,51.9,218,No Failure,72.66666666666667,0,0,1
231,297.6,308.3,1538,40.2,0,No Failure,0.0,0,0,1
232,297.5,308.2,1647,31.3,3,No Failure,1.5,0,1,0
233,297.5,308.1,1469,44.8,5,No Failure,1.6666666666666667,0,0,1
234,297.4,308.1,1749,25.9,8,No Failure,4.0,0,1,0
235,297.6,308.2,1995,20.5,10,No Failure,3.3333333333333335,0,0,1
236,297.5,308.2,1563,38.2,15,No Failure,7.5,0,1,0
237,297.4,308.1,1474,39.4,20,No Failure,10.0,0,1,0
238,297.4,308.2,1530,32.6,22,No Failure,7.333333333333333,0,0,1
239,297.4,308.2,1471,46.5,25,No Failure,12.5,0,1,0
240,297.5,308.3,1388,48.6,27,No Failure,13.5,0,1,0
241,297.5,308.2,2448,13.8,29,No Failure,9.666666666666666,0,0,1
242,297.5,308.3,1459,45.2,34,No Failure,11.333333333333334,0,0,1
243,297.5,308.3,1544,40.8,37,No Failure,18.5,0,1,0
244,297.6,308.3,1595,34.3,41,No Failure,20.5,0,1,0
245,297.6,308.3,1400,44.3,43,No Failure,8.6,1,0,0
246,297.6,308.4,1507,46.0,51,No Failure,17.0,0,0,1
247,297.6,308.3,1658,34.3,59,No Failure,29.5,0,1,0
248,297.6,308.4,1398,48.9,63,No Failure,21.0,0,0,1
249,297.6,308.4,1517,34.2,66,No Failure,33.0,0,1,0
250,297.6,308.3,1467,36.7,68,No Failure,22.666666666666668,0,0,1
251,297.5,308.3,1521,38.2,74,No Failure,24.666666666666668,0,0,1
252,297.5,308.3,1596,36.8,77,No Failure,38.5,0,1,0
253,297.6,308.3,1438,47.8,84,No Failure,42.0,0,1,0
254,297.6,308.4,1407,55.2,86,No Failure,43.0,0,1,0
255,297.6,308.4,1353,57.5,88,No Failure,44.0,0,1,0
256,297.6,308.5,1552,40.9,90,No Failure,30.0,0,0,1
257,297.6,308.4,1569,38.3,93,No Failure,31.0,0,0,1
258,297.5,308.4,1489,39.5,96,No Failure,48.0,0,1,0
259,297.5,308.4,1587,36.1,98,No Failure,19.6,1,0,0
260,297.5,308.4,1604,38.1,106,No Failure,53.0,0,1,0
261,297.4,308.3,1405,51.7,108,No Failure,36.0,0,0,1
262,297.4,308.2,1401,51.9,117,No Failure,39.0,0,0,1
263,297.4,308.2,1424,53.9,120,No Failure,40.0,0,0,1
264,297.3,308.2,1754,29.4,123,No Failure,61.5,0,1,0
265,297.3,308.2,1754,26.8,125,No Failure,62.5,0,1,0
266,297.5,308.3,2564,12.8,127,Power Failure,63.5,0,1,0
267,297.5,308.5,1712,26.8,136,No Failure,68.0,0,1,0
268,297.6,308.6,1414,45.4,138,No Failure,46.0,0,0,1
269,297.6,308.7,1319,50.9,141,No Failure,70.5,0,1,0
270,297.7,308.7,1249,60.4,143,No Failure,71.5,0,1,0
271,297.6,308.7,1460,46.7,150,No Failure,75.0,0,1,0
272,297.6,308.6,1491,38.1,152,No Failure,76.0,0,1,0
273,297.5,308.4,1350,52.2,157,No Failure,52.333333333333336,0,0,1
274,297.5,308.4,1528,39.9,160,No Failure,80.0,0,1,0
275,297.4,308.3,1571,37.7,162,No Failure,81.0,0,1,0
276,297.4,308.3,1490,42.6,164,No Failure,82.0,0,1,0
277,297.4,308.3,1774,28.9,166,No Failure,55.333333333333336,0,0,1
278,297.5,308.5,1722,30.4,178,No Failure,89.0,0,1,0
279,297.4,308.6,1678,32.3,180,No Failure,90.0,0,1,0
280,297.3,308.6,1273,59.8,182,No Failure,91.0,0,1,0
281,297.3,308.6,1297,45.9,184,No Failure,92.0,0,1,0
282,297.3,308.5,1350,57.6,186,No Failure,93.0,0,1,0
283,297.4,308.6,1439,51.9,188,No Failure,94.0,0,1,0
284,297.4,308.5,1600,42.1,190,No Failure,63.333333333333336,0,0,1
285,297.5,308.6,1472,44.9,198,No Failure,66.0,0,0,1
286,297.5,308.6,1388,48.2,203,No Failure,101.5,0,1,0
287,297.4,308.4,1573,34.5,205,No Failure,102.5,0,1,0
288,297.4,308.4,1588,32.5,207,No Failure,103.5,0,1,0
289,297.5,308.4,1511,42.8,209,No Failure,104.5,0,1,0
290,297.4,308.4,1394,50.1,213,No Failure,106.5,0,1,0
291,297.4,308.4,2151,17.7,0,No Failure,0.0,0,1,0
292,297.3,308.3,1501,38.2,2,No Failure,0.6666666666666666,0,0,1
293,297.3,308.3,1301,39.6,5,No Failure,1.6666666666666667,0,0,1
294,297.3,308.3,1657,31.1,8,No Failure,2.6666666666666665,0,0,1
295,297.3,308.3,1333,55.2,11,No Failure,5.5,0,1,0
296,297.3,308.3,1484,43.9,13,No Failure,6.5,0,1,0
297,297.3,308.4,1430,45.7,15,No Failure,7.5,0,1,0
298,297.3,308.4,1665,28.9,17,No Failure,5.666666666666667,0,0,1
299,297.6,308.6,1595,36.9,25,No Failure,8.333333333333334,0,0,1
300,297.5,308.6,1208,62.3,28,No Failure,14.0,0,1,0
301,297.5,308.6,1596,37.1,30,No Failure,15.0,0,1,0
302,297.5,308.5,1446,41.9,32,No Failure,16.0,0,1,0
303,297.6,308.5,1466,39.7,34,No Failure,11.333333333333334,0,0,1
304,297.6,308.5,1848,23.7,37,No Failure,12.333333333333334,0,0,1
305,297.3,308.3,1504,36.3,45,No Failure,22.5,0,1,0
306,297.3,308.3,1538,38.5,47,No Failure,23.5,0,1,0
307,297.4,308.4,1341,52.2,49,No Failure,24.5,0,1,0
308,297.5,308.5,1393,46.6,56,No Failure,11.2,1,0,0
309,297.4,308.5,1469,45.1,63,No Failure,12.6,1,0,0
310,297.5,308.6,1452,39.0,72,No Failure,36.0,0,1,0
311,297.6,308.7,1376,59.9,74,No Failure,24.666666666666668,0,0,1
312,297.5,308.6,1552,44.9,77,No Failure,38.5,0,1,0
313,297.6,308.7,1622,37.9,79,No Failure,39.5,0,1,0
314,297.5,308.6,1440,46.1,84,No Failure,16.8,1,0,0
315,297.4,308.6,1643,31.0,89,No Failure,29.666666666666668,0,0,1
316,297.4,308.7,1468,46.6,94,No Failure,47.0,0,1,0
317,297.4,308.7,1429,57.4,96,No Failure,48.0,0,1,0
318,297.4,308.6,1276,53.6,103,No Failure,51.5,0,1,0
319,297.3,308.6,1486,42.6,105,No Failure,52.5,0,1,0
320,297.4,308.7,2874,4.2,118,Power Failure,59.0,0,1,0
321,297.3,308.6,1511,35.7,120,No Failure,60.0,0,1,0
322,297.3,308.6,1456,42.9,122,No Failure,40.666666666666664,0,0,1
323,297.2,308.5,1550,41.5,125,No Failure,62.5,0,1,0
324,297.3,308.7,1619,31.6,129,No Failure,64.5,0,1,0
325,297.3,308.8,1499,44.2,134,No Failure,26.8,1,0,0
326,297.4,309.0,1497,41.8,144,No Failure,48.0,0,0,1
327,297.4,309.0,1520,37.0,147,No Failure,49.0,0,0,1
328,297.4,309.1,1380,41.1,152,No Failure,76.0,0,1,0
329,297.4,309.0,1570,37.9,154,No Failure,77.0,0,1,0
330,297.4,309.0,1468,41.4,156,No Failure,31.2,1,0,0
331,297.4,309.0,1833,22.6,161,No Failure,80.5,0,1,0
332,297.4,308.9,1323,57.3,163,No Failure,54.333333333333336,0,0,1
333,297.4,309.0,1583,32.0,166,No Failure,83.0,0,1,0
334,297.3,309.0,1556,39.5,168,No Failure,56.0,0,0,1
335,297.4,309.0,1685,30.7,177,No Failure,59.0,0,0,1
336,297.4,309.1,1582,35.9,180,No Failure,60.0,0,0,1
337,297.5,309.2,1347,55.8,188,No Failure,62.666666666666664,0,0,1
338,297.4,309.2,1459,37.9,191,No Failure,95.5,0,1,0
339,297.4,309.2,1420,45.6,193,No Failure,96.5,0,1,0
340,297.5,309.3,1404,43.5,195,No Failure,97.5,0,1,0
341,297.5,309.3,1470,38.8,197,No Failure,98.5,0,1,0
342,297.6,309.4,1326,49.8,199,No Failure,99.5,0,1,0
343,297.5,309.3,1459,49.7,201,No Failure,40.2,1,0,0
344,297.5,309.2,1530,40.0,206,No Failure,68.66666666666667,0,0,1
345,297.4,309.0,1505,39.2,209,No Failure,104.5,0,1,0
346,297.5,309.1,1611,30.2,211,No Failure,105.5,0,1,0
347,297.5,309.1,1515,35.1,213,No Failure,106.5,0,1,0
348,297.6,309.2,1390,43.3,221,No Failure,110.5,0,1,0
349,297.6,309.3,1529,41.9,3,No Failure,1.0,0,0,1
350,297.6,309.3,1543,34.3,8,No Failure,4.0,0,1,0
351,297.6,309.3,1415,41.3,17,No Failure,5.666666666666667,0,0,1
352,297.5,309.3,1564,37.5,20,No Failure,10.0,0,1,0
353,297.5,309.3,1479,39.4,22,No Failure,11.0,0,1,0
354,297.5,309.2,1426,44.8,24,No Failure,12.0,0,1,0
355,297.4,309.2,1428,38.8,26,No Failure,13.0,0,1,0
356,297.4,309.2,1620,33.2,28,No Failure,14.0,0,1,0
357,297.5,309.2,1715,28.0,30,No Failure,15.0,0,1,0
358,297.5,309.3,1732,29.9,32,No Failure,16.0,0,1,0
359,297.6,309.5,1924,20.6,37,No Failure,18.5,0,1,0
360,297.7,309.5,2027,19.8,39,No Failure,13.0,0,0,1
361,297.6,309.5,1617,36.2,42,No Failure,21.0,0,1,0
362,297.5,309.4,1497,35.8,44,No Failure,22.0,0,1,0
363,297.5,309.5,1448,43.7,46,No Failure,15.333333333333334,0,0,1
364,297.4,309.4,1620,35.4,51,No Failure,25.5,0,1,0
365,297.4,309.4,1466,45.5,53,No Failure,26.5,0,1,0
366,297.6,309.6,1592,35.8,57,No Failure,19.0,0,0,1
367,297.6,309.5,1569,36.2,63,No Failure,31.5,0,1,0
368,297.5,309.4,1443,45.4,70,No Failure,35.0,0,1,0
369,297.5,309.3,1675,29.8,72,No Failure,36.0,0,1,0
370,297.5,309.3,1623,33.4,74,No Failure,37.0,0,1,0
371,297.4,309.3,1365,52.4,76,No Failure,15.2,1,0,0
372,297.4,309.3,1759,24.8,81,No Failure,40.5,0,1,0
373,297.4,309.3,1516,43.0,83,No Failure,16.6,1,0,0
374,297.4,309.4,1473,45.5,94,No Failure,47.0,0,1,0
375,297.5,309.4,1803,24.7,98,No Failure,49.0,0,1,0
376,297.5,309.3,1563,36.1,100,No Failure,20.0,1,0,0
377,297.5,309.4,1831,26.6,105,No Failure,35.0,0,0,1
378,297.5,309.4,1809,24.3,110,No Failure,55.0,0,1,0
379,297.4,309.2,1437,40.4,117,No Failure,58.5,0,1,0
380,297.5,309.4,1368,45.3,129,No Failure,25.8,1,0,0
381,297.5,309.4,1357,50.1,137,No Failure,68.5,0,1,0
382,297.5,309.4,1650,34.6,142,No Failure,71.0,0,1,0
383,297.5,309.4,1503,40.6,144,No Failure,72.0,0,1,0
384,297.5,309.4,1318,58.2,146,No Failure,73.0,0,1,0
385,297.5,309.4,1678,34.4,148,No Failure,49.333333333333336,0,0,1
386,297.6,309.5,1574,30.9,151,No Failure,75.5,0,1,0
387,297.7,309.6,1529,35.2,153,No Failure,76.5,0,1,0
388,297.6,309.6,1669,32.1,155,No Failure,31.0,1,0,0
389,297.7,309.7,1570,35.8,160,No Failure,32.0,1,0,0
390,297.7,309.7,1680,30.2,168,No Failure,56.0,0,0,1
391,297.8,309.7,1935,22.1,171,No Failure,85.5,0,1,0
392,297.8,309.8,1676,29.0,178,No Failure,59.333333333333336,0,0,1
393,297.9,309.9,1472,45.0,183,No Failure,91.5,0,1,0
394,297.9,310.0,1439,41.7,185,No Failure,61.666666666666664,0,0,1
395,297.7,309.7,1440,51.1,191,No Failure,38.2,1,0,0
396,297.7,309.7,1591,37.7,196,No Failure,98.0,0,1,0
397,297.8,309.8,1533,36.8,198,No Failure,99.0,0,1,0
