,type,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,failure_type,min_processo
108,H,298.4,308.2,1987,19.8,198,No Failure,39.6
109,M,298.4,308.1,1495,46.0,203,No Failure,67.66666666666667
110,M,298.4,308.2,1499,40.0,211,No Failure,70.33333333333333
111,L,298.4,308.2,1471,47.0,214,No Failure,107.0
112,L,298.4,308.2,1282,60.7,216,Overstrain Failure,108.0
113,L,298.3,308.1,1412,52.3,218,Overstrain Failure,109.0
114,L,298.3,308.1,1586,35.5,0,No Failure,0.0
115,M,298.4,308.2,1468,43.8,2,No Failure,0.6666666666666666
116,M,298.5,308.3,1440,43.6,5,No Failure,1.6666666666666667
117,L,298.5,308.4,1733,26.0,8,No Failure,4.0
118,H,298.4,308.2,1612,32.6,10,No Failure,2.0
119,H,298.4,308.3,1458,42.9,15,No Failure,3.0
120,L,298.4,308.3,1318,59.1,22,No Failure,11.0
121,L,298.2,308.1,1462,50.8,27,No Failure,13.5
122,M,298.2,308.0,1591,33.7,32,No Failure,10.666666666666666
123,L,298.2,308.1,1306,58.3,35,No Failure,17.5
124,L,298.2,308.1,1382,43.5,37,No Failure,18.5
125,L,298.2,308.2,1988,21.4,41,No Failure,20.5
126,L,298.2,308.2,1436,50.2,43,No Failure,21.5
127,L,298.2,308.3,1304,49.8,45,No Failure,22.5
128,L,298.2,308.3,1475,49.9,47,No Failure,23.5
129,H,298.2,308.3,1824,24.2,49,No Failure,9.8
130,M,298.1,308.2,1342,48.1,54,No Failure,18.0
131,L,298.1,308.2,1485,40.7,57,No Failure,28.5
132,L,298.2,308.2,1667,30.6,59,No Failure,29.5
133,L,298.3,308.5,1606,33.6,67,No Failure,33.5
134,L,298.2,308.4,1666,34.6,74,No Failure,37.0
135,H,298.2,308.4,1398,51.8,76,No Failure,15.2
136,H,298.2,308.4,1678,34.6,81,No Failure,16.2
137,M,298.4,308.6,1527,40.9,96,No Failure,32.0
138,L,298.4,308.6,1433,47.1,101,No Failure,50.5
139,L,298.4,308.6,1609,35.0,103,No Failure,51.5
140,L,298.3,308.5,1575,41.2,105,No Failure,52.5
141,L,298.4,308.5,1490,37.9,110,No Failure,55.0
142,L,298.4,308.5,1741,32.8,112,No Failure,56.0
143,M,298.4,308.7,1421,60.7,119,Power Failure,39.666666666666664
144,L,298.4,308.7,1523,36.1,126,No Failure,63.0
145,M,298.3,308.6,1589,37.1,137,No Failure,45.666666666666664
146,L,298.3,308.5,1664,31.6,144,No Failure,72.0
147,M,298.3,308.5,1434,46.2,148,No Failure,49.333333333333336
148,L,298.3,308.5,1416,52.7,151,No Failure,75.5
149,L,298.4,308.6,1304,45.0,158,No Failure,79.0
150,L,298.4,308.6,1569,34.4,160,No Failure,80.0
151,L,298.3,308.6,1584,29.3,162,No Failure,81.0
152,L,298.3,308.5,1362,53.8,164,No Failure,82.0
153,L,298.3,308.4,1329,49.2,166,No Failure,83.0
154,L,298.3,308.5,1538,32.2,173,No Failure,86.5
155,L,298.3,308.6,1570,34.8,175,No Failure,87.5
156,L,298.3,308.4,1408,43.1,177,No Failure,88.5
157,L,298.2,308.4,1424,47.6,179,No Failure,89.5
158,L,298.2,308.4,1512,34.9,181,No Failure,90.5
159,L,298.2,308.4,1478,42.9,183,No Failure,91.5
160,M,298.1,308.3,1680,33.7,185,No Failure,61.666666666666664
161,L,298.1,308.3,1495,38.7,188,No Failure,94.0
162,M,298.0,308.1,1552,36.6,190,No Failure,63.333333333333336
163,L,297.9,308.1,1393,50.3,193,No Failure,96.5
164,L,298.0,308.2,1611,30.6,195,No Failure,97.5
165,M,298.0,308.1,1339,51.6,197,No Failure,65.66666666666667
166,L,298.0,308.1,1777,24.3,200,No Failure,100.0
167,M,298.0,308.2,1395,49.1,206,No Failure,68.66666666666667
168,M,297.9,308.1,1627,31.4,209,No Failure,69.66666666666667
169,L,297.9,308.1,1585,33.5,212,No Failure,106.0
170,L,298.0,308.2,1469,45.5,214,No Failure,107.0
171,L,298.0,308.3,1405,56.2,218,Overstrain Failure,109.0
172,L,298.0,308.3,1662,32.7,0,No Failure,0.0
173,M,298.0,308.2,1466,42.6,2,No Failure,0.6666666666666666
174,L,298.0,308.2,1357,48.2,7,No Failure,3.5
175,L,298.0,308.2,1514,37.9,9,No Failure,4.5
176,L,298.0,308.2,1489,40.4,11,No Failure,5.5
177,L,298.1,308.3,1331,63.0,13,No Failure,6.5
178,L,298.0,308.0,1615,29.5,15,No Failure,7.5
179,M,298.1,308.2,1420,63.9,19,Power Failure,6.333333333333333
180,M,298.1,308.2,1736,26.8,27,No Failure,9.0
181,L,298.1,308.2,1390,47.5,33,No Failure,16.5
182,L,298.0,308.1,1454,37.1,35,No Failure,17.5
183,L,297.9,308.0,1954,21.1,42,No Failure,21.0
184,H,297.9,308.0,1800,24.8,44,No Failure,8.8
185,L,298.0,308.0,1524,37.0,49,No Failure,24.5
186,H,298.0,308.0,1520,39.6,51,No Failure,10.2
187,M,298.1,308.1,1452,40.8,56,No Failure,18.666666666666668
188,L,298.1,308.1,1484,40.4,59,No Failure,29.5
189,L,298.1,308.0,1426,46.0,61,No Failure,30.5
190,L,298.1,308.0,1652,28.5,63,No Failure,31.5
191,M,298.0,307.9,1750,26.6,67,No Failure,22.333333333333332
192,H,298.0,308.0,1479,50.7,70,No Failure,14.0
193,M,298.0,308.0,1620,29.4,75,No Failure,25.0
194,L,298.0,308.1,1819,23.4,78,No Failure,39.0
195,M,298.1,308.1,1456,43.7,80,No Failure,26.666666666666668
196,M,298.1,308.1,1390,49.8,85,No Failure,28.333333333333332
197,L,298.2,308.2,1469,43.0,88,No Failure,44.0
198,L,298.2,308.3,1568,36.0,92,No Failure,46.0
199,L,298.2,308.3,1589,33.2,94,No Failure,47.0
200,H,298.2,308.4,1385,42.2,98,No Failure,19.6
201,L,298.1,308.4,1438,45.6,105,No Failure,52.5
202,L,298.0,308.3,1473,42.6,107,No Failure,53.5
203,L,298.1,308.4,1335,40.2,109,No Failure,54.5
204,H,298.1,308.5,1392,44.8,111,No Failure,22.2
205,M,298.1,308.6,1716,30.7,119,No Failure,39.666666666666664
206,L,298.0,308.5,1395,46.2,122,No Failure,61.0
207,L,298.0,308.5,1713,25.3,124,No Failure,62.0
208,H,297.9,308.5,2129,18.7,126,No Failure,25.2
209,M,297.8,308.3,1567,35.6,131,No Failure,43.666666666666664
210,L,297.8,308.4,1622,38.3,134,No Failure,67.0
211,H,297.8,308.4,1512,35.1,138,No Failure,27.6
212,M,297.8,308.4,1479,43.5,143,No Failure,47.666666666666664
213,L,297.8,308.4,1737,27.5,146,No Failure,73.0
214,L,297.8,308.4,2129,19.2,148,No Failure,74.0
215,L,297.8,308.4,1374,47.1,150,No Failure,75.0
216,M,297.8,308.4,1579,36.6,152,No Failure,50.666666666666664
217,M,297.9,308.5,1449,40.8,157,No Failure,52.333333333333336
218,H,298.0,308.6,1526,41.8,160,No Failure,32.0
219,L,298.0,308.6,1313,50.8,170,No Failure,85.0
220,M,297.9,308.5,1300,53.0,172,No Failure,57.333333333333336
221,L,297.9,308.4,1646,40.6,175,No Failure,87.5
222,L,297.8,308.4,1685,28.4,179,No Failure,89.5
223,L,297.8,308.4,1612,32.1,183,No Failure,91.5
224,L,297.8,308.5,1448,40.0,192,No Failure,96.0
225,L,297.8,308.5,1699,27.8,199,No Failure,99.5
226,L,297.7,308.5,1501,41.4,201,No Failure,100.5
227,L,297.7,308.5,1373,56.7,203,Overstrain Failure,101.5
228,H,297.6,308.4,1703,31.4,205,No Failure,41.0
229,M,297.6,308.4,1398,41.9,215,No Failure,71.66666666666667
230,M,297.6,308.4,1391,51.9,218,No Failure,72.66666666666667
231,M,297.6,308.3,1538,40.2,0,No Failure,0.0
232,L,297.5,308.2,1647,31.3,3,No Failure,1.5
233,M,297.5,308.1,1469,44.8,5,No Failure,1.6666666666666667
234,L,297.4,308.1,1749,25.9,8,No Failure,4.0
235,M,297.6,308.2,1995,20.5,10,No Failure,3.3333333333333335
236,L,297.5,308.2,1563,38.2,15,No Failure,7.5
237,L,297.4,308.1,1474,39.4,20,No Failure,10.0
238,M,297.4,308.2,1530,32.6,22,No Failure,7.333333333333333
239,L,297.4,308.2,1471,46.5,25,No Failure,12.5
240,L,297.5,308.3,1388,48.6,27,No Failure,13.5
241,M,297.5,308.2,2448,13.8,29,No Failure,9.666666666666666
242,M,297.5,308.3,1459,45.2,34,No Failure,11.333333333333334
243,L,297.5,308.3,1544,40.8,37,No Failure,18.5
244,L,297.6,308.3,1595,34.3,41,No Failure,20.5
245,H,297.6,308.3,1400,44.3,43,No Failure,8.6
246,M,297.6,308.4,1507,46.0,51,No Failure,17.0
247,L,297.6,308.3,1658,34.3,59,No Failure,29.5
248,M,297.6,308.4,1398,48.9,63,No Failure,21.0
249,L,297.6,308.4,1517,34.2,66,No Failure,33.0
250,M,297.6,308.3,1467,36.7,68,No Failure,22.666666666666668
251,M,297.5,308.3,1521,38.2,74,No Failure,24.666666666666668
252,L,297.5,308.3,1596,36.8,77,No Failure,38.5
253,L,297.6,308.3,1438,47.8,84,No Failure,42.0
254,L,297.6,308.4,1407,55.2,86,No Failure,43.0
255,L,297.6,308.4,1353,57.5,88,No Failure,44.0
256,M,297.6,308.5,1552,40.9,90,No Failure,30.0
257,M,297.6,308.4,1569,38.3,93,No Failure,31.0
258,L,297.5,308.4,1489,39.5,96,No Failure,48.0
259,H,297.5,308.4,1587,36.1,98,No Failure,19.6
260,L,297.5,308.4,1604,38.1,106,No Failure,53.0
261,M,297.4,308.3,1405,51.7,108,No Failure,36.0
262,M,297.4,308.2,1401,51.9,117,No Failure,39.0
263,M,297.4,308.2,1424,53.9,120,No Failure,40.0
264,L,297.3,308.2,1754,29.4,123,No Failure,61.5
265,L,297.3,308.2,1754,26.8,125,No Failure,62.5
266,L,297.5,308.3,2564,12.8,127,Power Failure,63.5
267,L,297.5,308.5,1712,26.8,136,No Failure,68.0
268,M,297.6,308.6,1414,45.4,138,No Failure,46.0
269,L,297.6,308.7,1319,50.9,141,No Failure,70.5
270,L,297.7,308.7,1249,60.4,143,No Failure,71.5
271,L,297.6,308.7,1460,46.7,150,No Failure,75.0
272,L,297.6,308.6,1491,38.1,152,No Failure,76.0
273,M,297.5,308.4,1350,52.2,157,No Failure,52.333333333333336
274,L,297.5,308.4,1528,39.9,160,No Failure,80.0
275,L,297.4,308.3,1571,37.7,162,No Failure,81.0
276,L,297.4,308.3,1490,42.6,164,No Failure,82.0
277,M,297.4,308.3,1774,28.9,166,No Failure,55.333333333333336
278,L,297.5,308.5,1722,30.4,178,No Failure,89.0
279,L,297.4,308.6,1678,32.3,180,No Failure,90.0
280,L,297.3,308.6,1273,59.8,182,No Failure,91.0
281,L,297.3,308.6,1297,45.9,184,No Failure,92.0
282,L,297.3,308.5,1350,57.6,186,No Failure,93.0
283,L,297.4,308.6,1439,51.9,188,No Failure,94.0
284,M,297.4,308.5,1600,42.1,190,No Failure,63.333333333333336
285,M,297.5,308.6,1472,44.9,198,No Failure,66.0
286,L,297.5,308.6,1388,48.2,203,No Failure,101.5
287,L,297.4,308.4,1573,34.5,205,No Failure,102.5
288,L,297.4,308.4,1588,32.5,207,No Failure,103.5
289,L,297.5,308.4,1511,42.8,209,No Failure,104.5
290,L,297.4,308.4,1394,50.1,213,No Failure,106.5
291,L,297.4,308.4,2151,17.7,0,No Failure,0.0
292,M,297.3,308.3,1501,38.2,2,No Failure,0.6666666666666666
293,M,297.3,308.3,1301,39.6,5,No Failure,1.6666666666666667
294,M,297.3,308.3,1657,31.1,8,No Failure,2.6666666666666665
295,L,297.3,308.3,1333,55.2,11,No Failure,5.5
296,L,297.3,308.3,1484,43.9,13,No Failure,6.5
297,L,297.3,308.4,1430,45.7,15,No Failure,7.5
298,M,297.3,308.4,1665,28.9,17,No Failure,5.666666666666667
299,M,297.6,308.6,1595,36.9,25,No Failure,8.333333333333334
300,L,297.5,308.6,1208,62.3,28,No Failure,14.0
301,L,297.5,308.6,1596,37.1,30,No Failure,15.0
302,L,297.5,308.5,1446,41.9,32,No Failure,16.0
303,M,297.6,308.5,1466,39.7,34,No Failure,11.333333333333334
304,M,297.6,308.5,1848,23.7,37,No Failure,12.333333333333334
305,L,297.3,308.3,1504,36.3,45,No Failure,22.5
306,L,297.3,308.3,1538,38.5,47,No Failure,23.5
307,L,297.4,308.4,1341,52.2,49,No Failure,24.5
308,H,297.5,308.5,1393,46.6,56,No Failure,11.2
309,H,297.4,308.5,1469,45.1,63,No Failure,12.6
310,L,297.5,308.6,1452,39.0,72,No Failure,36.0
311,M,297.6,308.7,1376,59.9,74,No Failure,24.666666666666668
312,L,297.5,308.6,1552,44.9,77,No Failure,38.5
313,L,297.6,308.7,1622,37.9,79,No Failure,39.5
314,H,297.5,308.6,1440,46.1,84,No Failure,16.8
315,M,297.4,308.6,1643,31.0,89,No Failure,29.666666666666668
316,L,297.4,308.7,1468,46.6,94,No Failure,47.0
317,L,297.4,308.7,1429,57.4,96,No Failure,48.0
318,L,297.4,308.6,1276,53.6,103,No Failure,51.5
319,L,297.3,308.6,1486,42.6,105,No Failure,52.5
320,L,297.4,308.7,2874,4.2,118,Power Failure,59.0
321,L,297.3,308.6,1511,35.7,120,No Failure,60.0
322,M,297.3,308.6,1456,42.9,122,No Failure,40.666666666666664
323,L,297.2,308.5,1550,41.5,125,No Failure,62.5
324,L,297.3,308.7,1619,31.6,129,No Failure,64.5
325,H,297.3,308.8,1499,44.2,134,No Failure,26.8
326,M,297.4,309.0,1497,41.8,144,No Failure,48.0
327,M,297.4,309.0,1520,37.0,147,No Failure,49.0
328,L,297.4,309.1,1380,41.1,152,No Failure,76.0
329,L,297.4,309.0,1570,37.9,154,No Failure,77.0
330,H,297.4,309.0,1468,41.4,156,No Failure,31.2
331,L,297.4,309.0,1833,22.6,161,No Failure,80.5
332,M,297.4,308.9,1323,57.3,163,No Failure,54.333333333333336
333,L,297.4,309.0,1583,32.0,166,No Failure,83.0
334,M,297.3,309.0,1556,39.5,168,No Failure,56.0
335,M,297.4,309.0,1685,30.7,177,No Failure,59.0
336,M,297.4,309.1,1582,35.9,180,No Failure,60.0
337,M,297.5,309.2,1347,55.8,188,No Failure,62.666666666666664
338,L,297.4,309.2,1459,37.9,191,No Failure,95.5
339,L,297.4,309.2,1420,45.6,193,No Failure,96.5
340,L,297.5,309.3,1404,43.5,195,No Failure,97.5
341,L,297.5,309.3,1470,38.8,197,No Failure,98.5
342,L,297.6,309.4,1326,49.8,199,No Failure,99.5
343,H,297.5,309.3,1459,49.7,201,No Failure,40.2
344,M,297.5,309.2,1530,40.0,206,No Failure,68.66666666666667
345,L,297.4,309.0,1505,39.2,209,No Failure,104.5
346,L,297.5,309.1,1611,30.2,211,No Failure,105.5
347,L,297.5,309.1,1515,35.1,213,No Failure,106.5
348,L,297.6,309.2,1390,43.3,221,No Failure,110.5
349,M,297.6,309.3,1529,41.9,3,No Failure,1.0
350,L,297.6,309.3,1543,34.3,8,No Failure,4.0
351,M,297.6,309.3,1415,41.3,17,No Failure,5.666666666666667
352,L,297.5,309.3,1564,37.5,20,No Failure,10.0
353,L,297.5,309.3,1479,39.4,22,No Failure,11.0
354,L,297.5,309.2,1426,44.8,24,No Failure,12.0
355,L,297.4,309.2,1428,38.8,26,No Failure,13.0
356,L,297.4,309.2,1620,33.2,28,No Failure,14.0
357,L,297.5,309.2,1715,28.0,30,No Failure,15.0
358,L,297.5,309.3,1732,29.9,32,No Failure,16.0
359,L,297.6,309.5,1924,20.6,37,No Failure,18.5
360,M,297.7,309.5,2027,19.8,39,No Failure,13.0
361,L,297.6,309.5,1617,36.2,42,No Failure,21.0
362,L,297.5,309.4,1497,35.8,44,No Failure,22.0
363,M,297.5,309.5,1448,43.7,46,No Failure,15.333333333333334
364,L,297.4,309.4,1620,35.4,51,No Failure,25.5
365,L,297.4,309.4,1466,45.5,53,No Failure,26.5
366,M,297.6,309.6,1592,35.8,57,No Failure,19.0
367,L,297.6,309.5,1569,36.2,63,No Failure,31.5
368,L,297.5,309.4,1443,45.4,70,No Failure,35.0
369,L,297.5,309.3,1675,29.8,72,No Failure,36.0
370,L,297.5,309.3,1623,33.4,74,No Failure,37.0
371,H,297.4,309.3,1365,52.4,76,No Failure,15.2
372,L,297.4,309.3,1759,24.8,81,No Failure,40.5
373,H,297.4,309.3,1516,43.0,83,No Failure,16.6
374,L,297.4,309.4,1473,45.5,94,No Failure,47.0
375,L,297.5,309.4,1803,24.7,98,No Failure,49.0
376,H,297.5,309.3,1563,36.1,100,No Failure,20.0
377,M,297.5,309.4,1831,26.6,105,No Failure,35.0
378,L,297.5,309.4,1809,24.3,110,No Failure,55.0
379,L,297.4,309.2,1437,40.4,117,No Failure,58.5
380,H,297.5,309.4,1368,45.3,129,No Failure,25.8
381,L,297.5,309.4,1357,50.1,137,No Failure,68.5
382,L,297.5,309.4,1650,34.6,142,No Failure,71.0
383,L,297.5,309.4,1503,40.6,144,No Failure,72.0
384,L,297.5,309.4,1318,58.2,146,No Failure,73.0
385,M,297.5,309.4,1678,34.4,148,No Failure,49.333333333333336
386,L,297.6,309.5,1574,30.9,151,No Failure,75.5
387,L,297.7,309.6,1529,35.2,153,No Failure,76.5
388,H,297.6,309.6,1669,32.1,155,No Failure,31.0
389,H,297.7,309.7,1570,35.8,160,No Failure,32.0
390,M,297.7,309.7,1680,30.2,168,No Failure,56.0
391,L,297.8,309.7,1935,22.1,171,No Failure,85.5
392,M,297.8,309.8,1676,29.0,178,No Failure,59.333333333333336
393,L,297.9,309.9,1472,45.0,183,No Failure,91.5
394,M,297.9,310.0,1439,41.7,185,No Failure,61.666666666666664
395,H,297.7,309.7,1440,51.1,191,No Failure,38.2
396,L,297.7,309.7,1591,37.7,196,No Failure,98.0
397,L,297.8,309.8,1533,36.8,198,No Failure,99.0
398,M,297.8,309.7,1700,31.3,200,No Failure,66.66666666666667
399,M,297.8,309.8,1798,25.5,203,No Failure,67.66666666666667
400,L,297.8,309.7,1394,42.9,206,No Failure,103.0
401,L,297.8,309.7,1341,49.2,208,No Failure,104.0
402,L,297.6,309.4,1491,40.2,231,No Failure,115.5
403,L,297.5,309.4,1517,36.7,233,No Failure,116.5
404,H,297.5,309.3,1525,41.7,235,No Failure,47.0
405,H,297.5,309.5,1668,27.9,240,No Failure,48.0
406,H,297.6,309.6,1278,50.4,2,No Failure,0.4
407,M,297.6,309.6,1330,53.1,7,No Failure,2.3333333333333335
408,M,297.6,309.6,1530,37.3,10,No Failure,3.3333333333333335
409,H,297.6,309.6,1428,46.6,13,No Failure,2.6
410,L,297.7,309.6,1480,47.9,18,No Failure,9.0
411,H,297.7,309.7,1616,31.1,20,No Failure,4.0
412,L,297.9,309.8,1336,71.6,31,Power Failure,15.5
413,M,297.9,309.8,1693,29.9,35,No Failure,11.666666666666666
414,L,298.1,309.9,1629,32.5,45,No Failure,22.5
415,L,298.1,310.0,1534,33.7,47,No Failure,23.5
416,L,298.1,310.0,1553,40.9,49,No Failure,24.5
417,L,298.1,309.9,1563,32.8,51,No Failure,25.5
418,L,298.1,309.9,1634,30.0,53,No Failure,26.5
419,M,298.0,309.9,1445,45.2,55,No Failure,18.333333333333332
420,L,298.1,309.9,1642,30.4,58,No Failure,29.0
421,H,298.1,309.9,1686,29.1,60,No Failure,12.0
422,M,298.1,310.0,1393,43.1,65,No Failure,21.666666666666668
423,L,298.3,310.0,1507,44.7,73,No Failure,36.5
424,M,298.3,310.1,1389,49.6,75,No Failure,25.0
425,M,298.4,310.2,1725,32.0,80,No Failure,26.666666666666668
426,H,298.3,310.1,1509,37.6,85,No Failure,17.0
427,M,298.4,310.1,1335,57.8,96,No Failure,32.0
428,L,298.3,310.1,1523,45.9,99,No Failure,49.5
429,L,298.3,310.0,1460,47.6,101,No Failure,50.5
430,L,298.4,310.0,1554,37.3,103,No Failure,51.5
431,H,298.3,310.0,1419,47.1,105,No Failure,21.0
432,L,298.3,310.0,1442,43.9,110,No Failure,55.0
433,L,298.3,309.9,1463,43.9,116,No Failure,58.0
434,L,298.2,309.7,1585,37.4,118,No Failure,59.0
435,L,298.0,309.6,1536,37.3,120,No Failure,60.0
436,L,298.0,309.6,1403,51.3,122,No Failure,61.0
437,L,297.9,309.5,1390,47.9,127,No Failure,63.5
438,M,297.8,309.4,1226,58.7,129,No Failure,43.0
439,H,297.7,309.4,1608,30.2,135,No Failure,27.0
440,L,297.7,309.4,1392,44.1,140,No Failure,70.0
441,L,297.7,309.3,1559,36.9,145,No Failure,72.5
442,L,297.7,309.2,1391,44.5,159,No Failure,79.5
443,L,297.7,309.2,1365,58.6,170,No Failure,85.0
444,M,297.7,309.2,1700,27.4,176,No Failure,58.666666666666664
445,M,297.6,309.0,1427,45.6,179,No Failure,59.666666666666664
446,L,297.5,308.9,1469,44.0,185,No Failure,92.5
447,L,297.5,308.9,1729,28.1,189,No Failure,94.5
448,L,297.5,308.9,1459,48.5,193,No Failure,96.5
449,L,297.5,308.9,1738,24.0,195,No Failure,97.5
