,udi,product_id,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,min_processo,type_H,type_L,type_M
99,9241,M24100,298.1,308.7,1362,49.6,158,78.5,0,0,1
100,9917,M24776,298.5,308.8,1553,34.9,18,32.8,0,0,1
101,3643,L50822,302.3,311.6,1309,57.6,77,56.333333333333336,0,1,0
102,7143,H36556,300.3,309.7,1452,41.5,139,89.5,1,0,0
103,62,M14921,298.8,309.0,1592,38.2,169,60.333333333333336,0,0,1
104,7385,L54564,299.7,310.4,1614,36.2,108,93.0,0,1,0
105,6687,L53866,301.7,311.0,1715,24.8,17,63.666666666666664,0,1,0
106,6700,M21559,301.7,310.8,1516,40.4,48,97.0,0,0,1
107,2850,L50029,300.4,309.3,1766,28.2,207,98.0,0,1,0
108,8670,M23529,297.5,308.8,1471,52.3,152,39.6,0,0,1
109,1140,M15999,297.0,307.9,1569,33.3,141,67.66666666666667,0,0,1
110,5280,L52459,303.6,313.0,1522,35.8,133,70.33333333333333,0,1,0
111,2515,L49694,298.9,308.6,2069,18.7,27,107.0,0,1,0
112,4399,M19258,302.3,310.1,1563,37.8,31,108.0,0,0,1
113,6145,M21004,301.1,311.1,1615,37.7,153,109.0,0,0,1
114,6481,L53660,300.7,309.9,1775,26.6,149,0.0,0,1,0
115,1513,H30926,298.0,308.7,1503,36.3,5,0.6666666666666666,1,0,0
116,9709,L56888,299.0,310.1,1664,29.7,89,1.6666666666666667,0,1,0
117,7401,M22260,299.6,310.6,1633,34.2,151,4.0,0,0,1
118,1762,L48941,298.1,307.6,1950,20.3,202,2.0,0,1,0
119,5478,L52657,302.7,312.1,1763,26.5,184,3.0,0,1,0
120,8480,L55659,298.6,309.7,1627,33.4,99,11.0,0,1,0
121,636,L47815,298.3,310.0,1858,23.9,114,13.5,0,1,0
122,1963,L49142,297.8,307.5,1391,48.6,109,10.666666666666666,0,1,0
123,400,L47579,297.4,308.4,1392,49.7,174,17.5,0,1,0
124,2893,L50072,300.7,309.6,1329,54.3,80,18.5,0,1,0
125,5907,L53086,300.7,310.3,1533,35.6,198,20.5,0,1,0
126,504,M15363,297.6,309.2,1442,48.1,0,21.5,0,0,1
127,712,L47891,297.5,308.7,1443,46.2,110,22.5,0,1,0
128,1506,L48685,298.0,308.7,1626,36.7,210,23.5,0,1,0
129,8653,H38066,297.3,308.3,1461,41.5,108,9.8,1,0,0
130,8706,L55885,297.2,308.6,1437,52.4,37,18.0,0,1,0
131,8964,M23823,297.2,307.9,1687,30.4,82,28.5,0,0,1
132,3990,L51169,302.2,311.3,1602,32.8,120,29.5,0,1,0
133,5164,M20023,304.2,313.4,1713,23.5,50,33.5,0,0,1
134,7269,L54448,300.5,310.6,1543,36.2,30,37.0,0,1,0
135,9580,L56759,299.5,310.7,1589,33.5,5,15.2,0,1,0
136,3199,M18058,300.0,309.1,1463,45.7,11,16.2,0,0,1
137,3772,M18631,302.3,311.0,1384,49.7,192,32.0,0,0,1
138,9913,L57092,298.6,308.9,1327,58.8,9,50.5,0,1,0
139,4381,L51560,301.9,309.6,1410,49.0,223,51.5,0,1,0
140,5981,M20840,300.6,310.7,1654,32.0,180,52.5,0,0,1
141,5228,L52407,303.9,313.1,1440,41.1,12,55.0,0,1,0
142,7305,L54484,300.1,310.5,1394,44.3,121,56.0,0,1,0
143,4027,M18886,302.1,311.0,1574,34.1,215,39.666666666666664,0,0,1
144,5424,L52603,302.6,312.3,1647,31.8,52,63.0,0,1,0
145,1413,M16272,298.8,309.9,1415,53.2,194,45.666666666666664,0,0,1
146,8772,L55951,297.5,308.6,1536,39.0,202,72.0,0,1,0
147,8611,L55790,297.4,308.3,1561,38.3,0,49.333333333333336,0,1,0
148,4654,M19513,303.1,311.1,1594,35.5,13,75.5,0,0,1
149,7183,L54362,300.3,310.3,2158,16.8,32,79.0,0,1,0
150,3257,L50436,301.1,309.8,1519,39.6,167,80.0,0,1,0
151,1832,M16691,297.8,307.3,1315,54.0,180,81.0,0,0,1
152,9949,L57128,298.2,307.8,1804,25.1,108,82.0,0,1,0
153,3885,H33298,302.5,311.5,1626,36.0,44,83.0,1,0,0
154,4462,L51641,302.7,310.5,1642,30.8,195,86.5,0,1,0
155,2823,L50002,300.3,309.6,1593,38.1,140,87.5,0,1,0
156,2927,L50106,300.7,309.7,1507,52.4,163,88.5,0,1,0
157,9262,H38675,298.3,309.0,1470,38.4,10,89.5,1,0,0
158,2594,H32007,298.9,308.5,1415,54.0,6,90.5,1,0,0
159,8668,M23527,297.5,308.8,1455,46.1,147,91.5,0,0,1
160,8004,M22863,300.8,312.0,1274,67.3,159,61.666666666666664,0,0,1
161,7569,L54748,300.2,311.0,1627,33.7,147,94.0,0,1,0
162,3680,L50859,302.2,311.5,1725,34.0,170,63.333333333333336,0,1,0
163,2072,M16931,299.7,309.6,1313,60.0,186,96.5,0,0,1
164,9639,H39052,299.3,310.4,1393,44.9,162,97.5,1,0,0
165,7962,L55141,301.0,312.2,1264,59.0,57,65.66666666666667,0,1,0
166,7860,M22719,300.5,311.9,1370,44.8,20,100.0,0,0,1
167,6627,L53806,301.6,310.6,1613,42.5,97,68.66666666666667,0,1,0
168,8040,L55219,300.8,311.9,1560,31.8,21,69.66666666666667,0,1,0
169,1018,L48197,296.3,307.2,1637,31.6,27,106.0,0,1,0
170,2861,H32274,300.6,309.4,1463,49.2,235,107.0,1,0,0
171,6717,L53896,301.3,310.6,1387,53.6,94,109.0,0,1,0
172,2817,L49996,300.1,309.4,1434,47.3,127,0.0,0,1,0
173,7253,H36666,300.2,310.4,1501,42.9,212,0.6666666666666666,1,0,0
174,1948,L49127,298.2,308.1,1462,49.9,69,3.5,0,1,0
175,8280,L55459,298.8,310.6,1803,25.4,209,4.5,0,1,0
176,4438,L51617,302.4,310.2,1578,31.2,139,5.5,0,1,0
177,5959,L53138,300.6,310.8,1533,38.5,117,6.5,0,1,0
178,7684,L54863,300.7,311.7,1524,43.5,222,7.5,0,1,0
179,454,L47633,297.4,308.7,1510,36.2,92,6.333333333333333,0,1,0
180,8731,H38144,297.3,308.7,1569,33.9,93,9.0,1,0,0
181,1593,L48772,298.1,308.4,1592,38.2,211,16.5,0,1,0
182,1775,M16634,298.5,308.0,1519,37.3,29,17.5,0,0,1
183,7803,L54982,299.9,311.3,1429,58.2,103,21.0,0,1,0
184,3061,L50240,300.0,309.1,1882,23.8,84,8.8,0,1,0
185,8766,L55945,297.4,308.8,1353,49.4,188,24.5,0,1,0
186,5810,H35223,301.3,311.0,1580,36.6,184,10.2,1,0,0
187,9014,H38427,297.2,308.0,1435,43.0,202,18.666666666666668,1,0,0
188,9658,L56837,299.0,310.0,1484,39.6,212,29.5,0,1,0
189,8301,L55480,298.7,310.1,1558,37.6,44,30.5,0,1,0
190,3127,L50306,300.0,309.4,1499,35.7,46,31.5,0,1,0
191,4958,M19817,303.8,312.6,1768,23.9,149,22.333333333333332,0,0,1
192,9445,L56624,298.1,308.9,2136,15.9,78,14.0,0,1,0
193,8861,M23720,297.9,309.1,1488,37.3,30,25.0,0,0,1
194,1175,M16034,297.1,308.1,1352,44.4,0,39.0,0,0,1
195,6602,M21461,301.5,310.7,1347,47.9,29,26.666666666666668,0,0,1
196,7343,M22202,299.7,310.3,1661,34.5,6,28.333333333333332,0,0,1
197,5056,H34469,303.8,312.9,1378,45.6,184,44.0,1,0,0
198,654,L47833,297.8,309.3,2015,20.1,161,46.0,0,1,0
199,6264,M21123,301.0,310.6,1698,27.3,14,47.0,0,0,1
200,6775,H36188,301.2,310.7,1747,27.3,35,19.6,1,0,0
201,9787,M24646,298.7,309.6,1738,27.3,79,52.5,0,0,1
202,462,L47641,297.4,308.7,1402,40.2,114,53.5,0,1,0
203,9292,L56471,298.2,309.0,1353,57.8,89,54.5,0,1,0
204,9688,M24547,299.1,310.1,1649,31.6,41,22.2,0,0,1
205,5388,L52567,302.8,312.2,1433,50.0,216,39.666666666666664,0,1,0
206,5492,M20351,302.7,312.2,1350,58.6,2,61.0,0,0,1
207,9965,L57144,298.3,307.9,1766,26.5,145,62.0,0,1,0
208,6671,L53850,301.5,310.6,1998,20.2,210,25.2,0,1,0
209,9746,L56925,298.8,310.0,1611,32.4,183,43.666666666666664,0,1,0
210,6379,L53558,300.0,309.6,1514,44.6,98,67.0,0,1,0
211,7676,L54855,300.5,311.6,1447,45.4,204,27.6,0,1,0
212,138,L47317,298.7,308.6,1297,55.3,148,47.666666666666664,0,1,0
213,9010,L56189,297.3,307.9,1579,34.4,193,73.0,0,1,0
214,576,M15435,297.9,309.9,1410,55.4,188,74.0,0,0,1
215,3714,L50893,302.3,311.5,1565,35.6,41,75.0,0,1,0
216,2874,H32287,300.6,309.4,1555,37.9,24,50.666666666666664,1,0,0
217,5404,L52583,302.7,312.3,1858,25.4,2,52.333333333333336,0,1,0
218,8036,L55215,300.7,311.7,1910,19.7,13,32.0,0,1,0
219,7708,H37121,300.5,311.4,1679,27.5,59,85.0,1,0,0
220,2955,H32368,300.6,309.4,1691,28.0,36,57.333333333333336,1,0,0
221,1295,L48474,298.8,309.9,1486,40.3,126,87.5,0,1,0
222,4861,M19720,303.6,312.4,1504,49.5,109,89.5,0,0,1
223,2066,L49245,299.7,309.6,1419,45.1,170,91.5,0,1,0
224,7057,M21916,300.8,310.5,1409,50.6,141,96.0,0,0,1
225,861,H30274,296.1,306.9,1541,32.6,33,99.5,1,0,0
226,3151,L50330,300.4,309.8,1513,32.9,117,100.5,0,1,0
227,5601,L52780,302.8,312.1,1487,36.6,84,101.5,0,1,0
228,4091,L51270,302.0,310.5,2197,15.8,133,41.0,0,1,0
229,3588,H33001,301.8,310.5,1478,38.6,141,71.66666666666667,1,0,0
230,8215,L55394,299.2,310.5,1391,45.8,38,72.66666666666667,0,1,0
231,3974,L51153,302.3,311.4,1535,41.8,77,0.0,0,1,0
232,8514,M23373,298.2,309.5,1478,36.5,182,1.5,0,0,1
233,9293,L56472,298.2,309.0,1643,34.1,91,1.6666666666666667,0,1,0
234,6525,L53704,301.1,310.4,1874,24.8,47,4.0,0,1,0
235,5940,L53119,300.5,310.5,1409,60.9,73,3.3333333333333335,0,1,0
236,5201,L52380,303.8,312.8,1416,58.7,156,7.5,0,1,0
237,9039,L56218,297.3,308.3,2358,14.9,49,10.0,0,1,0
238,1605,L48784,297.8,307.8,1452,39.8,21,7.333333333333333,0,1,0
239,8833,L56012,297.4,308.8,1651,34.1,163,12.5,0,1,0
240,7638,H37051,300.4,311.4,1445,52.4,105,13.5,1,0,0
241,6075,M20934,301.0,310.8,1533,39.3,194,9.666666666666666,0,0,1
242,445,L47624,297.4,308.4,1582,37.2,68,11.333333333333334,0,1,0
243,6191,L53370,300.9,310.9,1749,26.4,40,18.5,0,1,0
244,3343,L50522,301.5,310.8,1382,52.4,165,20.5,0,1,0
245,3783,L50962,302.2,310.8,1827,23.8,9,8.6,0,1,0
246,4637,L51816,303.0,311.3,1466,43.0,210,17.0,0,1,0
247,3290,M18149,301.2,310.1,1295,56.6,39,29.5,0,0,1
248,3429,L50608,301.6,310.6,1391,49.4,164,21.0,0,1,0
249,2381,L49560,299.0,308.1,1242,60.9,117,33.0,0,1,0
250,8790,L55969,297.4,308.5,1471,43.9,45,22.666666666666668,0,1,0
251,4615,H34028,303.0,311.2,1503,37.0,152,24.666666666666668,1,0,0
252,5324,M20183,303.4,312.7,1399,48.4,34,38.5,0,0,1
253,295,M15154,298.1,308.5,1372,51.1,116,42.0,0,0,1
254,1025,L48204,296.2,307.3,1711,29.9,42,43.0,0,1,0
255,5689,M20548,302.3,311.7,1423,44.6,93,44.0,0,0,1
256,8118,L55297,300.3,311.7,1406,47.5,14,30.0,0,1,0
257,7554,L54733,300.3,311.3,1505,39.6,107,31.0,0,1,0
258,8748,L55927,297.3,308.5,1504,42.0,142,48.0,0,1,0
259,7649,L54828,300.4,311.4,1552,28.8,135,19.6,0,1,0
260,2327,M17186,299.4,308.7,1487,52.6,205,53.0,0,0,1
261,5714,L52893,302.2,311.9,1596,38.0,156,36.0,0,1,0
262,3218,L50397,300.6,309.5,2025,21.4,64,39.0,0,1,0
263,2403,L49582,299.2,308.7,1325,51.0,171,40.0,0,1,0
264,5161,L52340,304.1,313.2,1434,50.1,43,61.5,0,1,0
265,6916,L54095,301.0,311.4,1484,36.2,188,62.5,0,1,0
266,6408,M21267,300.3,309.9,1611,29.0,177,63.5,0,0,1
267,7212,L54391,299.8,309.7,1431,40.3,101,68.0,0,1,0
268,2449,L49628,299.4,308.9,1440,42.5,87,46.0,0,1,0
269,5921,L53100,300.5,310.2,1764,25.9,27,70.5,0,1,0
270,5426,L52605,302.5,312.2,1775,27.9,56,71.5,0,1,0
271,9678,L56857,299.0,310.1,2033,19.3,15,75.0,0,1,0
272,3748,L50927,302.5,311.1,1499,38.8,135,76.0,0,1,0
273,7936,M22795,300.8,311.9,1356,44.3,214,52.333333333333336,0,0,1
274,4022,H33435,302.1,310.9,1452,42.5,198,80.0,1,0,0
275,2044,M16903,299.2,309.0,1597,30.3,115,81.0,0,0,1
276,3817,L50996,302.1,310.6,1459,47.6,93,82.0,0,1,0
277,3848,M18707,302.3,311.0,1450,45.7,175,55.333333333333336,0,0,1
278,8811,M23670,297.3,308.5,1625,32.8,92,89.0,0,0,1
279,4058,L51237,302.0,310.9,1495,38.6,52,90.0,0,1,0
280,312,M15171,298.0,308.6,1453,44.1,165,91.0,0,0,1
281,7654,L54833,300.4,311.5,1492,44.6,149,92.0,0,1,0
282,1369,H30782,298.8,310.3,1708,27.1,78,93.0,1,0,0
283,4886,H34299,303.8,312.5,1748,25.1,175,94.0,1,0,0
284,2386,L49565,299.1,308.3,1524,34.1,128,63.333333333333336,0,1,0
285,7680,L54859,300.7,311.7,1635,32.4,213,66.0,0,1,0
286,6788,H36201,301.1,310.6,1388,58.5,68,101.5,1,0,0
287,5405,H34818,302.8,312.5,1422,46.1,4,102.5,1,0,0
288,363,H29776,297.6,308.3,1640,30.9,79,103.5,1,0,0
289,4565,L51744,302.8,310.8,1516,39.5,23,104.5,0,1,0
290,177,L47356,298.2,308.1,1618,34.7,39,106.5,0,1,0
291,1433,L48612,298.8,309.8,1437,42.8,23,0.0,0,1,0
292,2142,M17001,299.3,308.9,1577,34.9,160,0.6666666666666666,0,0,1
293,3173,M18032,300.3,309.6,1488,41.3,172,1.6666666666666667,0,0,1
294,987,H30400,296.4,307.1,1638,32.5,146,2.6666666666666665,1,0,0
295,4889,L52068,303.7,312.4,1512,39.2,184,5.5,0,1,0
296,8336,M23195,299.0,309.8,2240,15.9,144,6.5,0,0,1
297,9946,L57125,298.3,308.0,1578,37.8,101,7.5,0,1,0
298,2141,L49320,299.3,309.0,1419,46.6,158,5.666666666666667,0,1,0
299,7628,L54807,300.5,311.7,1445,44.8,83,8.333333333333334,0,1,0
300,8394,L55573,298.5,309.5,1428,43.5,87,14.0,0,1,0
301,8757,L55936,297.5,308.7,1761,26.2,164,15.0,0,1,0
302,7811,L54990,300.1,311.5,2218,17.0,123,16.0,0,1,0
303,8165,L55344,299.6,310.9,1472,40.9,137,11.333333333333334,0,1,0
304,5156,H34569,304.2,313.3,1625,37.3,27,12.333333333333334,1,0,0
305,3646,L50825,302.2,311.5,1413,43.5,83,22.5,0,1,0
306,2157,M17016,299.4,308.9,1457,41.5,201,23.5,0,0,1
307,6596,M21455,301.5,310.7,1460,38.6,14,24.5,0,0,1
308,3230,L50409,300.6,309.4,1442,43.2,96,11.2,0,1,0
309,9801,H39214,298.5,309.3,1421,50.3,124,12.6,1,0,0
310,7158,L54337,300.2,310.0,1486,40.1,182,36.0,0,1,0
311,6002,M20861,300.4,310.2,1380,47.3,5,24.666666666666668,0,0,1
312,8510,M23369,298.4,309.7,1870,22.5,170,38.5,0,0,1
313,7880,M22739,300.8,312.3,1535,40.3,71,39.5,0,0,1
314,9442,L56621,298.1,308.8,1432,43.4,68,16.8,0,1,0
315,1491,L48670,298.2,309.0,1341,43.8,171,29.666666666666668,0,1,0
316,460,L47639,297.4,308.6,1476,42.3,107,47.0,0,1,0
317,3574,L50753,301.8,310.6,1452,48.4,110,48.0,0,1,0
318,8883,L56062,298.0,309.2,1378,49.7,94,51.5,0,1,0
319,1951,M16810,298.0,307.9,1479,47.6,76,52.5,0,0,1
320,2325,L49504,299.3,308.8,1636,29.9,201,59.0,0,1,0
321,737,L47916,296.9,308.3,1555,38.2,175,60.0,0,1,0
322,1591,L48770,298.2,308.4,1497,37.7,207,40.666666666666664,0,1,0
323,4933,L52112,303.3,312.1,1418,44.7,83,62.5,0,1,0
324,5437,M20296,302.9,312.5,1679,30.9,79,64.5,0,0,1
325,4198,L51377,302.4,311.0,1573,36.5,193,26.8,0,1,0
326,15,L47194,298.6,309.2,2035,19.6,40,48.0,0,1,0
327,5719,L52898,302.4,312.0,1621,32.5,169,49.0,0,1,0
328,7695,H37108,300.6,311.7,1500,36.7,17,76.0,1,0,0
329,9062,M23921,297.2,308.4,1863,26.0,110,77.0,0,0,1
330,3847,L51026,302.3,310.9,1403,47.2,173,31.2,0,1,0
331,1043,L48222,296.6,307.6,1542,37.4,88,80.5,0,1,0
332,1388,L48567,298.9,310.1,1823,26.1,131,54.333333333333336,0,1,0
333,4300,L51479,301.7,310.1,1402,50.1,3,83.0,0,1,0
334,3062,L50241,300.1,309.1,1353,58.7,86,56.0,0,1,0
335,7140,L54319,300.6,310.1,1495,42.3,132,59.0,0,1,0
336,1087,L48266,297.0,307.9,1455,49.0,204,60.0,0,1,0
337,8225,L55404,299.1,310.5,1496,35.2,60,62.666666666666664,0,1,0
338,8697,L55876,297.2,308.6,1413,49.8,12,95.5,0,1,0
339,2510,L49689,299.0,308.9,1511,35.9,16,96.5,0,1,0
340,2484,M17343,298.9,308.7,1402,49.8,167,97.5,0,0,1
341,6136,L53315,301.0,310.9,1740,28.9,129,98.5,0,1,0
342,8072,L55251,300.5,312.0,1646,29.5,106,99.5,0,1,0
343,5468,L52647,302.9,312.4,1383,51.4,160,40.2,0,1,0
344,1537,M16396,298.2,308.9,1326,54.4,75,68.66666666666667,0,0,1
345,1372,M16231,298.7,310.3,1495,38.7,88,104.5,0,0,1
346,9153,L56332,297.5,308.6,1260,53.6,137,105.5,0,1,0
347,7834,L55013,300.0,311.4,1604,38.7,185,106.5,0,1,0
348,2535,L49714,298.9,308.7,1729,26.6,73,110.5,0,1,0
349,641,M15500,297.9,309.6,1515,38.8,124,1.0,0,0,1
350,8544,M23403,298.5,309.4,1365,48.7,56,4.0,0,0,1
351,8590,M23449,297.3,307.8,1538,48.0,171,5.666666666666667,0,0,1
352,7368,M22227,299.5,310.1,1359,61.1,67,10.0,0,0,1
353,778,L47957,296.7,307.8,1382,47.5,37,11.0,0,1,0
354,6015,H35428,300.8,310.8,1618,32.8,40,12.0,1,0,0
355,50,M14909,298.9,309.2,1412,44.1,140,13.0,0,0,1
356,4915,M19774,303.5,312.3,1532,41.7,32,14.0,0,0,1
357,7937,L55116,300.8,311.7,1490,46.4,217,15.0,0,1,0
358,6097,M20956,300.8,310.7,1483,40.8,28,16.0,0,0,1
359,4855,L52034,303.7,312.2,1568,33.8,96,18.5,0,1,0
360,8491,M23350,298.5,309.6,1364,58.7,123,13.0,0,0,1
361,3268,L50447,301.3,310.0,1550,41.5,197,21.0,0,1,0
362,2860,L50039,300.6,309.4,1549,43.4,233,22.0,0,1,0
363,2882,M17741,300.6,309.6,1588,37.0,50,15.333333333333334,0,0,1
364,7921,L55100,300.8,312.0,1382,49.3,177,25.5,0,1,0
365,1532,H30945,298.1,309.0,1438,41.4,60,26.5,1,0,0
366,773,H30186,296.8,308.0,1453,51.0,24,19.0,1,0,0
367,410,L47589,297.4,308.6,1459,41.3,196,31.5,0,1,0
368,9968,M24827,298.3,307.9,1609,32.4,151,35.0,0,0,1
369,1451,M16310,299.0,310.3,1447,39.9,78,36.0,0,0,1
370,7872,L55051,300.6,312.2,1308,54.7,52,37.0,0,1,0
371,1248,L48427,297.2,308.5,1513,42.9,212,15.2,0,1,0
372,4169,L51348,302.2,310.6,1632,30.5,122,40.5,0,1,0
373,7251,M22110,300.1,310.2,1429,42.0,206,16.6,0,0,1
374,1645,L48824,298.0,307.8,1622,33.3,121,47.0,0,1,0
375,4112,M18971,302.0,310.6,1563,41.0,184,49.0,0,0,1
376,7632,L54811,300.5,311.6,1444,49.3,92,20.0,0,1,0
